filename,category,old_rate,tree_rate,rle_rate,straights_rate,straights_huffman_rate,reduced_edgebits_rate,paths_2bit_rate,tree_comp_time,tree_decomp_time,old_comp_time, old_decomp_time,rle_comp_time,rle_decomp_time,straights_comp_time,straights_decomp_time,huffman_comp_time,huffman_decomp_time,reduced_comp_time,reduced_decomp_time,paths_2bit_comp_time,paths_2bit_decomp_time
status-network-idle.png,icon_512,5.69419,9.13418,5.54802,4.44659,5.20104,6.55367,5.313,3,15,21,7,8,11,38,27,32,30,39,15,8,17
emblems-emblem-symbolic-link.png,icon_512,10.7793,47.1952,37.2982,17.8191,22.9825,18.332,39.5386,0,4,20,4,0,3,13,8,11,10,35,11,1,2
actions-contact-new.png,icon_512,5.03851,11.61,6.07113,5.24032,5.78655,6.02103,5.85943,2,10,22,8,5,8,23,22,20,28,41,15,6,14
status-weather-snow.png,icon_512,3.71061,11.0687,4.14881,3.63174,3.90431,4.18338,4.08261,3,13,25,10,10,10,30,24,26,29,43,17,10,19
actions-tab-new.png,icon_512,5.99171,19.5459,9.64583,9.24571,9.63991,7.57126,8.62115,1,8,21,7,3,6,11,8,10,12,37,13,4,9
apps-preferences-desktop-wallpaper.png,icon_512,6.74931,12.9289,8.71991,7.27318,8.32506,8.4062,7.98014,2,42,22,6,5,8,22,16,19,19,37,15,6,11
apps-system-users.png,icon_512,4.26374,10.1119,4.79058,4.13693,4.52104,4.88819,4.65487,10,14,98,10,15,14,37,31,33,29,55,18,15,19
actions-edit-find-replace.png,icon_512,6.31899,12.3513,7.79043,5.87656,6.77248,7.89968,8.06365,3,11,32,6,6,8,29,20,25,23,41,15,6,12
devices-input-gaming.png,icon_512,7.8378,21.8005,12.1276,8.9687,10.5176,10.9206,12.7617,0,7,20,5,2,5,18,13,15,16,36,12,2,7
emblems-emblem-photos.png,icon_512,7.76168,15.5875,12.3044,10.0212,11.3987,10.8817,11.1518,1,10,20,5,2,6,16,12,14,15,37,12,3,9
actions-media-seek-forward.png,icon_512,8.99598,28.7437,17.4085,13.6139,15.9586,13.3781,18.5771,0,5,19,5,1,5,13,9,11,11,35,12,2,5
devices-media-floppy.png,icon_512,10.2304,27.1293,10.9827,7.05244,9.39949,15.2765,13.0415,0,8,19,4,3,7,68,22,62,22,36,12,4,8
devices-media-flash.png,icon_512,7.61579,16.8699,9.28005,7.28591,8.72096,10.0266,9.56382,1,9,21,5,5,8,24,18,20,21,38,12,6,10
actions-edit-redo.png,icon_512,8.58922,25.9645,17.5348,11.1755,13.3031,12.733,19.5761,0,5,19,5,1,4,15,11,13,13,37,12,1,4
places-folder-remote.png,icon_512,8.77613,21.4,15.5858,11.6821,13.8984,12.3143,13.8967,0,8,19,5,2,6,16,12,14,14,35,12,2,7
emblems-emblem-important.png,icon_512,9.40693,38.2362,22.6967,18.5247,21.5778,14.9521,25.498,0,3,20,5,1,2,9,6,7,8,35,11,1,3
places-start-here.png,icon_512,9.46261,37.204,24.3251,20.9925,23.9448,15.0436,26.7944,0,3,21,5,1,2,7,6,6,7,36,11,1,2
actions-address-book-new.png,icon_512,4.96145,10.4293,6.29707,5.89558,6.30812,5.89379,5.7057,4,11,24,8,6,8,21,15,19,20,41,15,7,14
apps-preferences-desktop-locale.png,icon_512,9.61251,17.9125,29.7725,27.5559,29.8042,15.6335,15.7409,1,12,20,5,1,8,8,6,8,9,35,11,2,9
actions-edit-paste.png,icon_512,8.88349,24.0745,13.5765,8.81464,11.1336,12.6452,12.8044,0,10,19,5,2,6,21,16,18,17,36,12,3,8
mimetypes-audio-x-generic.png,icon_512,8.07961,27.4644,15.8829,14.5388,16.0968,11.7554,15.4784,0,5,20,5,1,3,9,7,8,9,37,12,2,4
actions-mail-message-new.png,icon_512,4.304,10.0051,4.81281,4.1928,4.5897,4.93348,4.62266,4,13,22,9,8,10,30,22,26,26,39,16,8,18
devices-camera-photo.png,icon_512,6.49078,13.577,8.45974,7.08477,8.0202,8.34721,8.32122,2,9,21,6,4,8,21,16,18,18,36,13,5,10
devices-battery.png,icon_512,8.19555,19.5307,16.3919,15.1172,16.5019,11.9619,13.2633,0,9,21,5,1,6,10,8,9,10,38,13,2,7
status-weather-few-clouds-night.png,icon_512,4.59852,12.8206,5.44785,4.58184,5.02301,5.41218,5.45506,3,10,21,8,5,8,27,21,24,24,38,15,6,14
status-weather-clear.png,icon_512,4.49106,12.3353,4.73086,4.34588,4.75622,5.24036,4.88644,3,11,23,8,8,9,29,22,26,26,41,15,8,16
status-audio-volume-muted.png,icon_512,4.96907,10.7692,5.73583,5.15727,5.64522,5.87659,5.54228,2,80,20,10,6,11,25,19,22,23,38,82,6,31
actions-edit-copy.png,icon_512,9.87578,40.8929,18.5577,12.1008,15.4945,15.4132,18.7889,0,6,19,5,2,5,16,11,14,13,36,11,2,5
mimetypes-text-x-generic.png,icon_512,11.2089,50.0649,50.4552,24.4982,31.7258,19.3981,42.3833,0,5,18,4,0,3,10,6,8,8,35,11,1,3
actions-media-playback-stop.png,icon_512,10.8665,59.364,47.4723,29.2123,35.485,18.4276,44.3294,0,4,19,4,0,3,8,5,7,6,35,11,0,2
devices-drive-optical.png,icon_512,9.43333,28.4897,20.8402,13.5214,16.3432,14.2308,20.8914,0,6,22,5,1,5,13,10,11,12,37,12,1,5
actions-system-search.png,icon_512,4.23536,9.06713,4.53438,4.02331,4.39684,4.87599,4.6065,4,12,22,9,8,10,32,23,29,28,40,16,8,17
actions-document-print-preview.png,icon_512,5.67951,11.5789,7.10835,6.31395,6.92245,6.92266,6.90372,2,11,23,7,4,8,21,16,18,21,40,14,5,12
devices-multimedia-player.png,icon_512,7.14033,13.1194,10.3875,8.01902,9.22893,8.90271,9.05571,2,11,20,6,4,11,20,17,18,18,36,13,5,13
devices-camera-video.png,icon_512,7.20312,14.864,8.87225,6.47308,7.74624,9.3111,8.8471,1,10,19,6,3,8,27,19,23,21,35,13,4,10
places-folder.png,icon_512,9.69033,29.898,20.8041,14.4537,17.7229,14.7611,19.7978,0,6,20,5,1,5,13,10,11,11,37,11,2,5
actions-list-add.png,icon_512,11.0455,88.6545,49.7097,28.1421,36.4794,19.6838,47.9561,0,3,20,4,0,2,7,5,6,6,34,11,1,1
status-weather-clear-night.png,icon_512,8.22564,25.8139,13.8032,10.2173,12.0504,11.9141,15.5637,0,6,19,5,1,4,16,11,14,14,36,12,2,5
status-dialog-error.png,icon_512,9.01671,22.9148,13.4832,9.29734,11.4559,12.9967,15.0654,0,7,19,5,2,5,21,16,18,18,35,12,3,6
status-audio-volume-low.png,icon_512,4.74665,10.4359,5.31513,4.8249,5.27497,5.55312,5.14887,2,12,20,8,7,9,26,20,22,24,37,16,7,16
actions-format-indent-more.png,icon_512,10.8683,40.7816,26.3002,14.6168,19.5353,18.4059,25.3986,0,6,20,4,1,8,15,12,12,11,35,11,2,16
categories-applications-games.png,icon_512,8.72269,24.2871,14.5039,10.9667,13.208,12.9386,15.9868,0,5,19,5,2,4,15,11,13,13,37,12,2,4
mimetypes-x-office-calendar.png,icon_512,6.56704,15.7697,9.94019,8.61295,9.502,8.43351,9.29313,2,8,22,6,3,6,16,11,14,14,37,13,4,9
actions-go-next.png,icon_512,9.14665,28.3798,15.4602,8.87363,11.1399,13.6146,18.6308,0,6,21,5,1,5,22,16,19,17,36,12,2,5
